,id_orig,base_supermarket,base_medical_clinic,base_primary_school,mean_supermarket,mean_medical_clinic,mean_primary_school,95_supermarket,95_medical_clinic,95_primary_school,5_supermarket,5_medical_clinic,5_primary_school,isolated_medical_clinic,isolated_primary_school,isolated_supermarket,total_pop,white,indigenous,asian,polynesian,latino,african_american
0,7024050,10615.8,8815.9,9092.6,17148.743999999988,16490.94040000004,16500.314999999973,25895.41,23856.1,23125.734999999997,10979.8,8815.9,9092.6,False,False,False,177,162,15,0,0,0,
1,7024059,10588.6,8788.7,9065.4,17121.512800000055,16463.711399999993,16473.09199999998,25868.209999999995,23828.899999999994,23098.44,10952.6,8788.7,9065.4,False,False,False,162,147,21,3,6,0,
2,7024168,11825.1,10025.1,9556.7,18160.77320000001,17528.243899999932,17468.208099999945,27104.704999999998,25062.940000000002,24334.934999999998,12189.0,10025.1,9556.7,False,False,False,102,87,3,12,0,0,
3,7024172,10456.0,8656.1,8932.8,16907.808100000024,16254.274999999978,16263.655800000042,25735.609999999997,23696.204999999994,22965.84,10820.0,8656.1,8932.8,False,False,False,180,156,15,12,3,0,
4,7024174,11032.1,9232.2,9508.9,17468.183800000028,16815.480099999986,16824.850600000005,26311.71,24272.399999999998,23542.034999999996,11396.1,9232.2,9508.9,False,False,False,129,123,15,0,0,0,
5,7024175,9234.6,7434.7,7711.4,15686.080200000015,15032.561300000001,15041.93329999998,24514.209999999995,22474.899999999994,21744.534999999996,9598.6,7434.7,7711.4,False,False,False,150,144,12,0,6,0,
6,7024176,10885.7,9085.8,9362.5,17400.639299999995,16743.78240000004,16753.15540000004,26165.31,24126.0,23395.635,11249.7,9085.8,9362.5,False,False,False,132,126,6,0,0,0,
7,7024177,8907.7,7107.8,7384.4,15400.531100000002,14744.831300000058,14754.20529999999,24187.305,22147.899999999998,21417.534999999996,9271.6,7107.8,7384.4,False,False,False,138,129,18,3,3,0,
8,7024178,10303.5,8503.6,8780.2,16818.382400000035,16161.525699999946,16170.89819999998,25583.105,23543.699999999993,22813.335,10667.4,8503.6,8780.2,False,False,False,246,219,9,21,6,6,
9,7024179,10457.6,8657.7,8934.3,16972.491000000024,16315.636799999947,16325.005600000011,25737.204999999998,23697.8,22967.44,10821.6,8657.7,8934.3,False,False,False,207,186,18,9,0,0,
10,7024180,9713.1,7913.2,8189.9,16227.998800000016,15571.148299999999,15580.515,24992.704999999998,22953.305,22222.94,10077.099999999999,7913.2,8189.9,False,False,False,207,183,12,18,3,0,
11,7024181,10114.5,8314.6,8591.2,16647.38440000003,15989.583599999987,15998.95369999997,25394.105,23354.699999999997,22624.34,10478.5,8314.6,8591.2,False,False,False,108,90,24,0,9,0,
12,7024182,9190.1,7390.2,7666.9,15682.97240000004,15027.280599999995,15036.654199999977,24469.71,22430.399999999998,21700.034999999996,9554.1,7390.2,7666.9,False,False,False,144,123,15,12,6,0,
13,7024183,10607.8,8807.9,9084.6,17122.719799999955,16465.86680000001,16475.246399999996,25887.409999999996,23848.099999999995,23117.64,10971.8,8807.9,9084.6,False,False,False,159,144,9,12,0,0,
14,7024184,10157.4,8357.5,8634.2,16672.31749999997,16015.464599999983,16024.84469999997,25437.01,23397.604999999996,22667.239999999998,10521.4,8357.5,8634.2,False,False,False,135,123,24,0,0,0,
15,7024185,9842.6,8042.7,8319.4,16368.95590000003,15711.4983,15720.87729999998,25122.209999999995,23082.804999999997,22352.44,10206.6,8042.7,8319.4,False,False,False,147,132,30,0,3,0,
16,7024186,9855.5,8055.6,8332.3,16381.900300000005,15724.443799999952,15733.823200000003,25135.204999999998,23095.8,22365.435,10219.5,8055.6,8332.3,False,False,False,174,165,21,0,0,0,
17,7024187,11170.5,9370.6,9647.3,17703.421600000016,17045.62049999998,17054.99630000005,26450.11,24410.8,23680.434999999998,11534.5,9370.6,9647.3,False,False,False,153,132,30,3,6,0,
18,7024188,9533.8,7733.8,8010.5,16060.120299999988,15402.651200000018,15412.035000000036,24813.405,22774.0,22043.635000000002,9897.7,7733.8,8010.5,False,False,False,147,132,24,0,3,0,
19,7024189,9196.8,7396.9,7673.6,15729.707699999964,15071.907100000004,15081.288399999985,24476.41,22437.005,21706.64,9560.8,7396.9,7673.6,False,False,False,102,93,6,3,0,6,
20,7024190,9535.5,7735.6,8012.2,16050.390000000018,15393.535199999984,15402.904499999975,24815.105,22775.699999999993,22045.335,9899.5,7735.6,8012.2,False,False,False,183,171,30,12,0,3,
21,7024191,9477.2,7677.3,7954.0,16003.555800000018,15346.098400000037,15355.478200000007,24756.81,22717.404999999995,21987.04,9841.2,7677.3,7954.0,False,False,False,96,84,18,3,0,0,
22,7024192,9323.1,7523.2,7799.8,15849.433000000017,15191.974499999964,15201.342400000007,24602.704999999998,22563.3,21832.934999999998,9687.0,7523.2,7799.8,False,False,False,126,108,21,9,6,0,
23,7024193,9316.7,7516.8,7793.5,15843.058900000016,15185.601900000034,15194.983500000008,24596.309999999998,22556.905,21826.539999999997,9680.7,7516.8,7793.5,False,False,False,186,174,21,6,0,0,
24,7024194,9045.2,7245.3,7522.0,15594.131099999988,14935.481000000018,14944.861800000042,24324.905,22285.5,21555.135000000002,9409.2,7245.3,7522.0,False,False,False,99,90,24,6,3,3,
25,7024195,9775.4,7975.5,8252.2,16315.877699999974,15657.676699999987,15667.05589999997,25055.009999999995,23015.699999999993,22285.335,10139.399999999998,7975.5,8252.2,False,False,False,111,105,12,0,0,0,
